19,2.93,2.02,1.3,0.73,0.45,0.17,12
19.2,2.98,2,1.3,0.73,0.42,0.13,12
19.4,3.02,2.02,1.28,0.77,0.45,0.17,12
19.6,2.97,2.02,1.26,0.7,0.45,0.17,12
19.8,2.97,1.98,1.28,0.75,0.41,0.14,13
20,3.02,1.98,1.26,0.73,0.45,0.13,13
20.2,2.98,2.06,1.26,0.73,0.47,0.1,13
20.4,3.03,1.98,1.3,0.7,0.42,0.1,13
20.6,3.03,2.02,1.26,0.73,0.4,0.13,14
20.8,3.05,2.02,1.26,0.79,0.41,0.1,14
21,3.05,2,1.28,0.66,0.45,0.09,14
21.2,3.13,2.05,1.28,0.7,0.41,0.05,15
21.4,3.07,1.98,1.24,0.75,0.4,0.09,15
21.6,3.09,2.05,1.3,0.7,0.4,0.12,15
21.8,3.16,2.06,1.3,0.75,0.52,0.13,15
22,3.16,2.05,1.3,0.73,0.4,0.09,16
22.2,3.21,2.06,1.28,0.73,0.42,0.1,16
22.4,3.17,2.05,1.26,0.73,0.42,0.1,16
22.6,3.25,2.14,1.28,0.7,0.42,0.14,17
22.8,3.21,2.12,1.23,0.73,0.42,0.1,17
23,3.2,2.09,1.3,0.73,0.41,0.17,17
23.2,3.27,2.16,1.3,0.73,0.42,0.14,17
23.4,3.27,2.2,1.3,0.75,0.4,0.13,18
23.6,3.27,2.16,1.28,0.79,0.41,0.13,18
23.8,3.32,2.19,1.3,0.73,0.46,0.1,18
24,3.38,2.19,1.37,0.7,0.47,0.12,19
24.2,3.38,2.22,1.32,0.7,0.37,0.09,19
24.4,3.4,2.23,1.37,0.67,0.42,0.07,19
24.6,3.4,2.23,1.36,0.69,0.37,0.03,20
24.8,3.45,2.27,1.37,0.73,0.37,0.04,20
25,3.48,2.27,1.36,0.7,0.41,0.07,20
25.2,3.51,2.23,1.37,0.7,0.42,0.1,21
25.4,3.55,2.29,1.42,0.73,0.46,0.05,21
25.6,3.53,2.29,1.32,0.69,0.41,0.04,21
25.8,3.55,2.33,1.4,0.73,0.41,0.05,22
26,3.56,2.29,1.36,0.73,0.38,0.05,22
26.2,3.67,2.35,1.45,0.73,0.37,0.05,22
26.4,3.63,2.33,1.4,0.75,0.41,0.04,23
26.6,3.69,2.34,1.46,0.77,0.37,0.04,23
26.8,3.7,2.38,1.43,0.73,0.42,-0.02,23
27,3.79,2.45,1.42,0.69,0.37,0.07,24
27.2,3.8,2.41,1.47,0.7,0.37,0.05,24
27.4,3.84,2.45,1.45,0.7,0.38,0.02,24
27.6,3.92,2.45,1.47,0.73,0.38,0.07,25
27.8,3.9,2.49,1.51,0.7,0.4,0.03,25
28,3.95,2.45,1.51,0.77,0.41,0.04,25
28.2,3.95,2.51,1.49,0.75,0.4,0.05,26
28.4,3.98,2.49,1.56,0.75,0.42,0,26
28.6,4.03,2.57,1.51,0.83,0.38,0.02,27
28.8,4.04,2.54,1.53,0.73,0.38,0.03,27
29,4.14,2.54,1.56,0.79,0.4,0.03,27
29.2,4.16,2.6,1.51,0.8,0.38,0.03,28
29.4,4.23,2.7,1.57,0.79,0.37,0.03,28
29.6,4.22,2.63,1.59,0.8,0.42,-0.02,28
29.8,4.24,2.7,1.71,0.8,0.4,0.03,29
30,4.34,2.72,1.57,0.83,0.45,0.02,29
30.2,4.31,2.7,1.66,0.88,0.37,0.03,30
30.4,4.38,2.77,1.57,0.79,0.45,0.04,30
30.6,4.41,2.82,1.66,0.83,0.41,0.1,30
30.8,4.49,2.8,1.61,0.83,0.46,0.05,31
31,4.52,2.86,1.73,0.84,0.45,0.04,31
31.2,4.55,2.9,1.67,0.84,0.45,-0.02,31
31.4,4.59,2.9,1.73,0.89,0.47,0.04,32
31.6,4.63,2.96,1.67,0.9,0.47,0.04,32
31.8,4.7,2.96,1.73,0.84,0.45,0.02,33
32,4.74,3.02,1.73,0.94,0.45,0.02,33
32.2,4.8,3.05,1.8,0.88,0.47,0.07,33
32.4,4.87,3.05,1.85,0.95,0.47,0.05,34
32.6,4.84,3.13,1.81,0.97,0.51,0.03,34
32.8,4.91,3.12,1.84,0.95,0.51,0.05,35
33,4.95,3.12,1.86,0.9,0.51,0.04,35
33.2,5.07,3.19,1.89,1.02,0.54,0.1,36
33.4,5.16,3.23,1.92,0.97,0.51,0.09,36
33.6,5.13,3.2,1.95,1.03,0.54,0.09,36
33.8,5.2,3.3,1.91,1.02,0.54,0.04,37
34,5.26,3.31,1.95,1.02,0.54,0.1,37
34.2,5.34,3.38,1.98,1.08,0.56,0.09,38
34.4,5.34,3.34,1.98,1,0.56,0.13,38
34.6,5.43,3.38,2.05,1.03,0.47,0.07,38
34.8,5.43,3.46,1.98,1.04,0.55,0.12,39
35,5.48,3.48,2.06,1.04,0.54,0.09,39
35.2,5.55,3.48,2.06,1.07,0.55,0.1,40
35.4,5.64,3.53,2.06,1.16,0.56,0.12,40
35.6,5.66,3.56,2.09,1.09,0.61,0.17,41
35.8,5.73,3.65,2.22,1.16,0.61,0.07,41
36,5.73,3.7,2.15,1.16,0.61,0.07,42
36.2,5.84,3.69,2.25,1.23,0.61,0.1,42
36.4,5.89,3.73,2.23,1.22,0.63,0.12,42
36.6,5.91,3.8,2.23,1.2,0.65,0.17,43
36.8,6.02,3.84,2.28,1.2,0.67,0.13,43
37,6.12,3.82,2.29,1.28,0.67,0.12,44
37.2,6.16,3.86,2.23,1.22,0.66,0.18,44
37.4,6.16,3.92,2.35,1.22,0.63,0.12,45
37.6,6.24,4,2.41,1.3,0.66,0.2,45
37.8,6.35,4.03,2.41,1.3,0.69,0.14,46
38,6.39,4.08,2.41,1.3,0.67,0.09,46
38.2,6.47,4.08,2.45,1.3,0.67,0.17,47
38.4,6.53,4.12,2.48,1.32,0.69,0.18,47
38.6,6.52,4.12,2.47,1.38,0.73,0.1,47
38.8,6.66,4.24,2.51,1.45,0.73,0.24,48
39,6.72,4.24,2.54,1.43,0.73,0.2,48
39.2,6.87,4.31,2.58,1.43,0.75,0.18,49
39.4,6.84,4.37,2.58,1.46,0.79,0.2,49
39.6,6.91,4.43,2.63,1.46,0.73,0.26,50
